,Ward,District,City,Latitude,Longitude
320,Vân Phúc,Phúc Thọ,Hà Nội,21.1051185,105.5493697
321,Vân Nam,Phúc Thọ,Hà Nội,21.1051185,105.5493697
322,Xuân Đình,Phúc Thọ,Hà Nội,21.0744061,105.7889375
323,Sen Phương,Phúc Thọ,Hà Nội,21.0414535,105.8393528
324,Võng Xuyên,Phúc Thọ,Hà Nội,21.0509698,105.8118619
325,Thọ Lộc,Phúc Thọ,Hà Nội,21.1169018,105.5277983
326,Long Xuyên,Phúc Thọ,Hà Nội,21.0356556,105.840271
327,Thượng Cốc,Phúc Thọ,Hà Nội,21.0747163,105.8027256
328,Hát Môn,Phúc Thọ,Hà Nội,16.8692228,102.3487787
329,Tích Giang,Phúc Thọ,Hà Nội,9.7804942,105.7219368
330,Thanh Đa,Phúc Thọ,Hà Nội,21.0414535,105.8393528
332,Phúc Hòa,Phúc Thọ,Hà Nội,21.1133878,105.5317048
333,Ngọc Tảo,Phúc Thọ,Hà Nội,10.96648405,106.89177554954243
334,Phụng Thượng,Phúc Thọ,Hà Nội,21.086984649999998,105.80822761778177
335,Tam Thuấn,Phúc Thọ,Hà Nội,10.8614917,106.7469451
336,Tam Hiệp,Phúc Thọ,Hà Nội,10.857326,106.7870016
337,Hiệp Thuận,Phúc Thọ,Hà Nội,9.7974986,105.8351152
338,Liên Hiệp,Phúc Thọ,Hà Nội,10.857326,106.7870016
339,Thị trấn Phùng,Đan Phượng,Hà Nội,21.04786305,105.83685198207905
340,Trung Châu,Đan Phượng,Hà Nội,21.03418635,105.86772532781018
341,Thọ An,Đan Phượng,Hà Nội,10.8905053,106.8215261
342,Thọ Xuân,Đan Phượng,Hà Nội,20.9954917,105.8382048
343,Hồng Hà,Đan Phượng,Hà Nội,21.11962705,105.67846875670617
344,Liên Hồng,Đan Phượng,Hà Nội,21.1114388,105.6375351
345,Liên Hà,Đan Phượng,Hà Nội,21.1114388,105.6375351
346,Hạ Mỗ,Đan Phượng,Hà Nội,21.0432493,105.8416938
347,Liên Trung,Đan Phượng,Hà Nội,21.0728446,105.7023722
348,Phương Đình,Đan Phượng,Hà Nội,21.043521,105.8380881
349,Thượng Mỗ,Đan Phượng,Hà Nội,21.1183765,105.7124849
350,Tân Hội,Đan Phượng,Hà Nội,10.7628659,106.625479
351,Tân Lập,Đan Phượng,Hà Nội,10.8837653,106.7443965
352,Đan Phượng,Đan Phượng,Hà Nội,21.11962705,105.67846875670617
353,Đồng Tháp,Đan Phượng,Hà Nội,21.0889524,105.6673553
354,Song Phượng,Đan Phượng,Hà Nội,10.8591,106.7887776
355,Thị trấn Trạm Trôi,Hoài Đức,Hà Nội,21.0684679,105.7096679
356,Đức Thượng,Hoài Đức,Hà Nội,21.043321,105.6998277
357,Minh Khai,Hoài Đức,Hà Nội,20.9925392,105.858778
358,Dương Liễu,Hoài Đức,Hà Nội,21.0355637,105.8552352
359,Di Trạch,Hoài Đức,Hà Nội,21.0442622,105.7201481
360,Đức Giang,Hoài Đức,Hà Nội,21.0577495,105.7013082
361,Cát Quế,Hoài Đức,Hà Nội,21.0610485,105.7013404
362,Kim Chung,Hoài Đức,Hà Nội,21.0528021,105.70956177263957
363,Yên Sở,Hoài Đức,Hà Nội,21.0473805,105.7025478
